시기,지역,모든 암(C00-C96),"입술, 구강 및 인두(C00-C14)",식도(C15),위(C16),대장(C18-C20),간(C22),담낭 및 기타 담도(C23-C24),췌장(C25),후두(C32),폐(C33-C34),유방(C50),자궁경부(C53),자궁체부(C54),난소(C56),전립선(C61),고환(C62),신장(C64),방광(C67),뇌 및 중추신경계(C70-C72),갑상선(C73),호지킨 림프종(C81),"비호지킨 림프종(C82-C86,C96)",다발성 골수종(C90),백혈병(C91-C95),기타 암(R+B4:B28e. C00-C96)
2014-2018,부산광역시,525.9,7.9,6.5,69.2,64,41.7,18.2,15.5,2.8,58,42.8,8.4,5.4,5.9,26,0.6,11.2,10.9,4.5,67.6,0.6,10,3,7,38.2
2014-2018,대구광역시,513.9,7.3,5.3,64.1,62.7,33.5,17.5,14.3,2.6,62.8,44.3,8.5,5.4,5.7,26.7,0.7,11.5,8.7,4.1,67.7,0.5,9.8,3.2,6.8,40.1
2014-2018,인천광역시,535.6,7.1,6.2,78.2,77.7,40,13.2,14.2,2.9,61.5,37.1,9.6,4.7,5.2,21.1,0.4,10.2,11.7,4.4,74.8,0.5,9,3.2,6.5,36.1
2014-2018,광주광역시,489.2,8.2,4.2,66.4,57.8,37.3,14,16.1,2.7,55.5,39.8,7.9,5.6,5.3,28,0.5,9.9,7.8,3.7,57.7,0.6,10.1,3.4,6.9,39.7
2014-2018,대전광역시,504.1,6.9,5,75.5,61.6,30.9,15,15.4,2.8,59.9,44.6,7,5.4,5.1,27.2,0.4,11.4,8.3,4.5,55.2,0.6,10.6,3.8,7.2,39.8
2014-2018,울산광역시,568.9,7.2,6.2,84.2,75.1,43.3,19.3,16,3.5,66.4,32.9,7.9,4.5,5.2,20.1,0.6,11.6,10.2,4.3,92.9,0.6,9,2.8,6.8,38.3
2014-2018,세종특별자치시,501.1,5.7,4.8,74.8,65.4,29.5,13.6,13,2,66.8,41.5,5.6,5.8,4,32.1,1,10.6,10.4,5,52.8,0.5,9.7,1.6,6.8,38
2014-2018,경기도,493.7,7.6,5.2,63.8,62.7,32.1,13.2,15.4,2.5,59,46,7,6,5.6,29,0.5,11,10.4,3.9,52.2,0.6,10.4,3.7,6.9,38.9
2014-2018,강원도,481.5,7.5,6,65.5,63.9,38.4,14.4,16.2,3,61.6,39.6,7.3,5.1,5,25.8,0.5,11.1,8.9,3.7,37.5,0.7,10.2,3.5,7,39
2014-2018,충청북도,503.4,6.5,6.4,73.6,67.2,31.7,15.1,16.3,2.7,65.4,39.9,7.4,5.9,5.7,27.6,0.5,10.7,10.9,4.3,45.7,0.4,9.6,3.6,7.3,39
2014-2018,충청남도,508.2,8.2,5.4,76.7,63.8,32.7,14.3,15.6,2.8,63.9,38.8,6.8,5.1,5.1,28.7,0.5,10,9.1,4.4,52.7,0.3,10.4,3.7,7.2,42
2014-2018,전라북도,503.8,7.9,5.9,69,62.3,33.7,18.6,15.9,2.6,59.7,38.4,7.5,5,4.9,26.6,0.4,10.4,9.4,3.9,52.7,0.6,10.6,4,7.3,46.2
2014-2018,전라남도,502.5,7.8,6.8,67.3,55.1,44.6,14.7,15.5,2.6,61.7,32.8,7.1,4.6,4.1,27.1,0.4,9.3,7.7,4.1,66.4,0.5,10,3.3,7.5,41.5
2014-2018,경상북도,501.1,7.2,6.2,71.7,60.6,37.9,17.2,15.2,3,64.7,36.2,8.1,4.9,5.4,26,0.5,10.8,8.9,3.8,51.4,0.5,9.1,3.7,6.9,41.2
2014-2018,경상남도,508.9,7.6,6.5,72.1,59.3,42.8,21.3,15.5,3.1,60.7,37.4,8.1,4.6,5.7,23.7,0.6,10.5,9.5,3.8,56.3,0.5,9.4,3.3,7,39.8
2014-2018,제주특별자치도,480.5,9.3,7,57.6,65.6,41.8,17.6,14.8,3,55.2,35,7.9,4.7,5.3,31.9,0.5,10.7,8.8,4.4,41.9,0.3,8.1,3.8,6.5,38.6
